id,county,state,concat,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US39173,Wood,Ohio,WoodOhio,130696,64457,66239,7079,7326,7376,11561,15919,8466,7339,7085,7090,7114,7696,7933,8661,7776,3952,3416,2117,2790
0500000US39003,Allen,Ohio,AllenOhio,102663,52122,50541,6030,6821,6140,7831,7334,6767,5402,4959,6556,5727,6736,7033,7397,5083,4988,3095,2833,1931
0500000US39043,Erie,Ohio,ErieOhio,74615,36773,37842,3960,3791,4388,4197,4287,4271,4328,4616,3602,4980,4611,6254,5173,4504,4648,2730,1557,2718
0500000US39141,Ross,Ohio,RossOhio,76931,40171,36760,4042,4304,4389,4912,4728,5088,4381,4958,4579,5583,5907,5222,5482,4094,3569,3794,1207,692
0500000US39095,Lucas,Ohio,LucasOhio,429899,208451,221448,27037,25855,29419,27421,28063,32119,27988,27201,22440,26767,26438,30527,28415,26526,14906,10899,9417,8461
0500000US39057,Greene,Ohio,GreeneOhio,167995,82995,85000,9284,8597,10599,13665,13144,11575,10721,10603,8477,9601,10154,11242,11274,9881,7142,5168,4582,2286
0500000US39139,Richland,Ohio,RichlandOhio,121099,60963,60136,7081,6479,7918,6823,6683,8128,6914,7924,6646,7172,8778,9174,7644,6838,5776,4262,3108,3751
0500000US39133,Portage,Ohio,PortageOhio,162927,79341,83586,7503,9237,7351,13794,18936,10200,8297,8635,8631,9919,10857,11351,11031,9435,7067,5256,2665,2762
0500000US42013,Blair,Pennsylvania,BlairPennsylvania,122492,59228,63264,6104,7542,6223,7529,6721,7855,6828,6694,7185,8139,8409,9566,8204,7883,6277,4903,3285,3145
0500000US42039,Crawford,Pennsylvania,CrawfordPennsylvania,85063,41603,43460,4821,4103,5451,5862,5358,4667,4532,4119,4928,5305,5668,6084,6609,5409,4979,3321,2155,1692
0500000US42051,Fayette,Pennsylvania,FayettePennsylvania,130441,64372,66069,6854,6956,6897,6413,6704,8375,7964,7263,7707,8429,9085,9559,10543,8839,6779,4839,3313,3922
0500000US42081,Lycoming,Pennsylvania,LycomingPennsylvania,113664,54669,58995,6287,5545,7282,8557,6012,7699,7158,5597,6692,6815,7560,7921,8638,7146,5066,4325,3063,2301
0500000US42045,Delaware,Pennsylvania,DelawarePennsylvania,564751,272087,292664,33196,35429,33383,39026,38339,37017,36774,36158,32416,34641,37008,42434,36479,29205,22354,14224,12044,14624
0500000US42073,Lawrence,Pennsylvania,LawrencePennsylvania,86184,41919,44265,4361,4051,5110,5473,4671,4937,4459,4587,4942,5497,5544,6191,7383,5710,4734,4210,2452,1872
0500000US42003,Allegheny,Pennsylvania,AlleghenyPennsylvania,1218452,588659,629793,64027,59164,65767,70727,75482,94627,92760,79686,63741,70581,75955,85273,90743,73839,53510,40676,28061,33833
0500000US42017,Bucks,Pennsylvania,BucksPennsylvania,628195,308124,320071,30736,31747,40899,38762,36396,33934,35042,38758,35501,42091,47575,54653,45041,36473,30224,22355,14545,13463
0500000US42095,Northampton,Pennsylvania,NorthamptonPennsylvania,304807,149975,154832,14331,16684,18304,21723,21069,17303,17708,17426,17312,20053,21376,24647,19208,17193,14513,11013,6676,8268
0500000US42085,Mercer,Pennsylvania,MercerPennsylvania,110683,55089,55594,5254,5342,6709,7471,7252,5665,5904,5491,6524,6630,7544,8490,8417,6705,6485,4293,2497,4010
0500000US42111,Somerset,Pennsylvania,SomersetPennsylvania,73952,38433,35519,3355,3749,3536,3798,3710,4317,4044,4419,4480,4856,5442,5609,6112,5281,3782,3382,2104,1976
0500000US42029,Chester,Pennsylvania,ChesterPennsylvania,522046,257619,264427,29045,33895,34108,36326,31943,30283,30383,31380,33339,35572,37247,37608,35749,27605,22017,15302,9703,10541
0500000US42077,Lehigh,Pennsylvania,LehighPennsylvania,368100,180300,187800,21837,22871,24509,23324,24411,24158,24852,25291,19890,23357,24052,23824,23430,20084,14840,9597,7513,10260
0500000US42001,Adams,Pennsylvania,AdamsPennsylvania,102811,50601,52210,5544,4681,7253,6613,6321,5813,5216,5291,5574,7060,7800,7540,7471,6314,5526,3515,2990,2289
0500000US42041,Cumberland,Pennsylvania,CumberlandPennsylvania,251423,124461,126962,13554,13601,15037,15998,18409,15587,16200,14899,14712,15828,16828,17772,16230,15027,11479,8612,5510,6140
0500000US42021,Cambria,Pennsylvania,CambriaPennsylvania,131730,65065,66665,6462,5803,8286,8517,8065,7194,6477,6186,7717,8229,8587,9709,10834,9389,6850,5489,3571,4365
0500000US42019,Butler,Pennsylvania,ButlerPennsylvania,187888,93038,94850,9477,9273,12139,12045,10822,10791,10812,10926,10844,12384,14023,13098,16305,11903,7866,5529,4033,5618
0500000US42049,Erie,Pennsylvania,EriePennsylvania,272061,133664,138397,14911,15812,16931,19152,17905,19207,16515,15653,15043,16386,17030,20439,18151,15297,12718,7871,5972,7068
0500000US42079,Luzerne,Pennsylvania,LuzernePennsylvania,317646,156745,160901,16250,14967,20202,19620,19189,20171,20014,16323,20001,20506,22577,21567,22900,18906,16391,10855,8617,8590
0500000US42055,Franklin,Pennsylvania,FranklinPennsylvania,154835,75735,79100,9135,8383,11370,9461,7580,9846,10068,10337,8135,9936,9993,10219,10429,9876,6637,6262,3232,3936
0500000US42133,York,Pennsylvania,YorkPennsylvania,448273,221982,226291,25480,26742,29242,28956,25909,26620,27934,28322,25649,30430,31143,31323,32385,25545,19806,14252,8843,9692
0500000US42097,Northumberland,Pennsylvania,NorthumberlandPennsylvania,91083,46104,44979,4562,5679,4337,4810,4645,5474,5625,5500,5279,5526,6426,6685,6888,6344,4574,3036,2479,3214
0500000US42005,Armstrong,Pennsylvania,ArmstrongPennsylvania,65263,32871,32392,3066,3416,3768,3438,3370,3450,3379,3190,3998,4407,4708,5445,5351,4207,3746,2617,1826,1881
0500000US42091,Montgomery,Pennsylvania,MontgomeryPennsylvania,828604,403331,425273,45476,48703,52127,51080,47230,49747,53974,54768,48962,54410,57983,61764,55223,47170,33512,26061,18456,21958
0500000US42063,Indiana,Pennsylvania,IndianaPennsylvania,84501,42527,41974,3941,4042,4181,7232,9427,4804,4121,3883,4192,4622,5138,6239,6056,4747,4472,2835,2164,2405
0500000US42033,Clearfield,Pennsylvania,ClearfieldPennsylvania,79388,41645,37743,3787,4079,4290,3919,4240,5081,4412,4764,4872,5728,5691,6806,5452,5265,3689,3285,1911,2117
0500000US42075,Lebanon,Pennsylvania,LebanonPennsylvania,141314,69165,72149,8087,8563,9944,9353,7621,8422,7501,9869,7075,9012,9460,8633,10065,8625,6541,4445,3949,4149
0500000US42025,Carbon,Pennsylvania,CarbonPennsylvania,64227,31550,32677,3156,2231,4533,3454,3205,3628,3406,3061,4143,4468,5150,5029,5379,4128,3710,1817,1948,1781
0500000US42069,Lackawanna,Pennsylvania,LackawannaPennsylvania,210793,101590,109203,11129,11651,12712,13949,11693,13723,12893,13282,10458,13521,13796,13697,16413,11488,11651,7260,5107,6370
0500000US42011,Berks,Pennsylvania,BerksPennsylvania,420152,205971,214181,24088,25468,27230,30031,27433,26681,25083,22845,25117,27144,29515,30661,26541,22476,18387,12000,8592,10860
0500000US42043,Dauphin,Pennsylvania,DauphinPennsylvania,277097,134626,142471,17189,16688,17874,16394,16753,19614,17899,16223,16448,17975,18338,19678,19206,15879,11098,7084,6373,6384
0500000US42089,Monroe,Pennsylvania,MonroePennsylvania,169507,83749,85758,6767,9580,9788,13676,11204,11107,9558,8779,9133,12575,11313,12733,15166,10108,6886,5008,3555,2571
0500000US42101,Philadelphia,Pennsylvania,PhiladelphiaPennsylvania,1584138,750017,834121,104241,93537,94786,96689,111614,160933,140970,109316,90054,89364,92004,93127,91748,69777,54218,38731,26859,26170
0500000US42007,Beaver,Pennsylvania,BeaverPennsylvania,164742,80056,84686,8719,8806,8951,8279,8519,10090,9324,11234,6829,9555,12151,14647,12019,12590,7184,6245,4863,4737
0500000US42037,Columbia,Pennsylvania,ColumbiaPennsylvania,65456,31765,33691,3225,3204,3013,4925,7595,3376,3238,3793,2933,4165,4131,4381,4765,4485,2779,1574,1760,2114
0500000US42071,Lancaster,Pennsylvania,LancasterPennsylvania,543557,265726,277831,35227,32409,38814,36951,33386,36272,34429,30760,30886,31509,34053,35817,34293,30433,22835,18873,14477,12133
0500000US42107,Schuylkill,Pennsylvania,SchuylkillPennsylvania,142067,73336,68731,6753,6371,9740,7783,6977,10381,7936,8009,7883,10407,10054,10559,10335,9334,6909,4563,3925,4148
0500000US42129,Westmoreland,Pennsylvania,WestmorelandPennsylvania,350611,171859,178752,15538,17447,19079,19351,18095,19161,18162,19416,18560,23296,25440,28171,29459,24833,19241,14598,9994,10770
0500000US42027,Centre,Pennsylvania,CentrePennsylvania,162805,85370,77435,6462,6344,7244,16607,28201,12229,10050,7561,8877,8463,9307,9976,8669,6913,6022,4386,2818,2676
0500000US42125,Washington,Pennsylvania,WashingtonPennsylvania,207346,101092,106254,10059,12256,11054,12366,12340,11767,11493,12634,11212,13092,14545,16244,16138,12944,11206,7981,5620,4395
0500000US48027,Bell,Texas,BellTexas,355642,177081,178561,29751,26729,27496,24762,30215,31941,26320,25516,20648,19660,19384,19059,15502,12660,10517,7890,4528,3064
0500000US48061,Cameron,Texas,CameronTexas,423908,206053,217855,34375,35150,36557,36286,30836,28519,23356,26684,25779,25313,21935,23778,17334,16663,15698,10067,7278,8300
0500000US48085,Collin,Texas,CollinTexas,1005146,494709,510437,62291,66963,83949,71535,58065,60038,68304,76560,83595,81652,69583,62864,49302,39306,30805,18950,10740,10644
0500000US48231,Hunt,Texas,HuntTexas,96493,47884,48609,6220,5441,7580,7900,6248,5210,5956,4991,6777,5864,6198,6031,7293,4284,4472,3109,1916,1003
0500000US48029,Bexar,Texas,BexarTexas,1986049,980600,1005449,142117,131037,151199,143367,146167,161793,154873,140672,127548,123988,112989,109330,100517,81307,62795,42614,27986,25750
0500000US48091,Comal,Texas,ComalTexas,148373,73782,74591,8668,9594,9266,9884,8069,8440,8412,10742,7933,10085,9126,9518,12194,8869,7902,3808,2500,3363
0500000US48361,Orange,Texas,OrangeTexas,83572,41520,42052,6308,4657,6022,5636,5520,5992,4787,4180,5560,5080,5182,5175,6140,4209,3409,2148,1837,1730
0500000US48497,Wise,Texas,WiseTexas,68305,34125,34180,4381,4267,5187,5507,3562,3911,3901,4862,3610,4841,4547,4858,4801,3407,2769,1581,1217,1096
0500000US48203,Harrison,Texas,HarrisonTexas,66726,32233,34493,3243,5096,4855,6029,4879,2663,4146,4393,4450,3823,3158,4384,4730,4715,2014,1696,1308,1144
0500000US48005,Angelina,Texas,AngelinaTexas,87092,42997,44095,5706,4969,7755,6032,5425,5152,4981,4946,5529,5468,5963,5974,5296,4379,3445,2575,1525,1972
0500000US48485,Wichita,Texas,WichitaTexas,132064,67373,64691,8351,7680,8877,11444,11494,9782,9514,8618,7603,7002,6260,8780,7497,6133,4678,3638,2362,2351
0500000US48251,Johnson,Texas,JohnsonTexas,171361,85556,85805,11798,13633,11465,11716,10153,10852,9970,13195,10019,11769,11243,13082,8793,8049,6218,5370,2502,1534
0500000US48309,McLennan,Texas,McLennanTexas,254607,124231,130376,17669,15495,19110,20979,26264,17841,16019,15035,15144,12634,13351,14155,14329,12437,8878,6225,4583,4459
0500000US48397,Rockwall,Texas,RockwallTexas,100657,48922,51735,5910,8056,8445,6805,4659,5404,6218,8017,9689,7074,6390,6861,4847,4243,3381,1804,1620,1234
0500000US48409,San Patricio,Texas,San PatricioTexas,66893,34023,32870,4713,5032,4901,4916,5036,3391,4518,3552,5017,3944,3836,4252,3750,3807,2244,2018,1123,843
0500000US48037,Bowie,Texas,BowieTexas,94324,47223,47101,6054,5387,7554,5262,5832,6730,6228,7947,5715,5121,5424,5500,6258,4684,4217,3087,1914,1410
0500000US48141,El Paso,Texas,El PasoTexas,840758,414919,425839,63202,58220,67889,64446,69120,68137,58294,53488,50954,49983,46300,44619,43052,33606,24868,19194,12716,12670
0500000US48139,Ellis,Texas,EllisTexas,179436,88519,90917,11556,14343,13291,13260,11815,11342,11138,12597,11584,12423,11312,13063,8952,8994,4648,4627,2344,2147
0500000US48201,Harris,Texas,HarrisTexas,4698619,2334547,2364072,354371,334559,360623,323424,313976,382535,373395,356793,314579,308536,277113,258393,245908,180311,128863,83375,52332,49533
0500000US48291,Liberty,Texas,LibertyTexas,86323,43214,43109,5870,6140,6723,6489,5316,6313,6142,4571,6955,4396,5968,5255,5303,4057,3007,2130,1085,603
0500000US48479,Webb,Texas,WebbTexas,275910,135706,140204,26011,22668,26807,25073,21805,19840,17753,17429,17363,16782,14560,14181,9635,8008,6810,5592,2997,2596
0500000US48183,Gregg,Texas,GreggTexas,123707,59025,64682,8692,7129,10770,8661,8395,8531,8070,8050,6952,7503,6520,7918,7542,6009,4939,2158,3041,2827
0500000US48347,Nacogdoches,Texas,NacogdochesTexas,65711,32131,33580,4236,4486,4011,7128,7668,3767,3365,3534,3643,3232,3771,4072,3248,2745,2959,2042,937,867
0500000US48439,Tarrant,Texas,TarrantTexas,2084931,1019965,1064966,146527,151171,158481,148172,139251,157989,153500,151950,133000,139400,131185,125116,113713,82063,62127,37722,26564,27000
0500000US48041,Brazos,Texas,BrazosTexas,226758,115417,111341,13748,12681,13321,22705,42569,20208,16083,13655,11620,10294,9964,11101,7813,7475,5330,4508,2374,1309
0500000US48209,Hays,Texas,HaysTexas,222631,111088,111543,13992,13843,14236,17845,28690,17137,15152,16219,12719,13673,11904,12112,10265,8988,6978,4458,2477,1943
0500000US48135,Ector,Texas,EctorTexas,162124,82718,79406,15107,13768,12735,12427,11107,14576,12395,12606,8239,9385,8180,8053,8375,3746,5328,2064,2772,1261
0500000US48423,Smith,Texas,SmithTexas,230221,111659,118562,15867,15539,15783,16419,15704,16084,14370,14008,13326,14144,13066,13807,14516,12213,9483,8194,4527,3171
0500000US48469,Victoria,Texas,VictoriaTexas,92035,44268,47767,6137,5051,8223,6963,5423,6479,5736,6381,4591,5508,5442,5455,5711,5154,3216,2838,1916,1811
0500000US48021,Bastrop,Texas,BastropTexas,86976,44143,42833,5947,5330,6778,7410,4981,4736,4583,5513,5420,6137,4691,6034,7108,4535,3610,1971,1596,596
0500000US48355,Nueces,Texas,NuecesTexas,362265,179696,182569,24407,24361,25302,26989,23801,25790,26651,25167,22122,20350,20373,21956,22265,19345,12395,9212,5898,5881
0500000US48441,Taylor,Texas,TaylorTexas,137640,66929,70711,9957,8557,10457,11431,14707,9162,8701,9926,6815,6828,6215,7383,8101,5554,4398,4104,2724,2620
0500000US48471,Walker,Texas,WalkerTexas,72480,40366,32114,2676,3341,3366,5545,11280,3796,4030,5711,5459,5249,4389,4143,4269,2884,3002,1035,1292,1013
0500000US48121,Denton,Texas,DentonTexas,859064,422997,436067,53770,59051,61465,61638,55466,62612,64704,69743,62300,66587,57893,55005,41692,29614,26523,13884,8603,8514
0500000US48375,Potter,Texas,PotterTexas,119648,61240,58408,9218,8962,9902,7551,8680,9067,8697,8206,5991,7452,7925,8163,6196,4734,3091,2330,1735,1748
0500000US48453,Travis,Texas,TravisTexas,1248743,630777,617966,78395,73167,76288,74414,82762,126568,123988,103371,96359,86362,72904,70764,59967,48008,31935,17953,11898,13640
0500000US48113,Dallas,Texas,DallasTexas,2637772,1301856,1335916,196902,189084,192624,179147,183880,227641,207994,188437,174309,168672,158191,150373,137336,100597,72582,49139,29440,31424
0500000US48167,Galveston,Texas,GalvestonTexas,337890,166749,171141,21439,21702,24649,22310,20126,21777,23409,24976,20204,22302,21084,26498,18679,17518,13692,7216,5890,4419
0500000US48213,Henderson,Texas,HendersonTexas,82299,38865,43434,4533,5002,5764,4384,4877,4679,4389,4333,4812,4162,4923,5402,6920,5906,4343,4141,2168,1561
0500000US48099,Coryell,Texas,CoryellTexas,74808,37030,37778,4995,4121,5527,4875,8414,6574,5561,6211,4637,4935,4405,4111,3143,2055,2336,1256,1102,550
0500000US48367,Parker,Texas,ParkerTexas,138371,68668,69703,8504,9315,10123,10472,6779,8334,8860,7442,9060,9417,9847,10377,8485,6511,6532,4188,2175,1950
0500000US48187,Guadalupe,Texas,GuadalupeTexas,163694,81228,82466,10245,12417,11097,13350,8691,9477,11474,10760,11590,11609,11179,10909,8804,7886,6021,3824,2532,1829
0500000US48215,Hidalgo,Texas,HidalgoTexas,865939,425393,440546,77170,75391,81494,76709,65787,62732,54074,53230,55932,51106,44116,37480,34703,30878,22625,17757,14213,10542
0500000US48329,Midland,Texas,MidlandTexas,172578,86130,86448,14717,13500,14023,11150,10478,15246,15029,12374,12140,9392,8411,8717,9201,6739,3657,2801,2670,2333
0500000US48245,Jefferson,Texas,JeffersonTexas,255001,130211,124790,17605,15460,18879,16084,17403,18936,18192,18094,15537,15249,14835,15945,16204,10331,9837,7374,3910,5126
0500000US48303,Lubbock,Texas,LubbockTexas,307412,151863,155549,20735,21350,19234,26705,37452,23792,20025,19022,18228,15021,15593,15512,17144,13296,8180,6843,4882,4398
0500000US48257,Kaufman,Texas,KaufmanTexas,128622,62516,66106,9284,9479,10628,10899,6323,8543,8698,9583,9463,7529,8145,6773,8250,4620,4549,2045,2189,1622
0500000US48381,Randall,Texas,RandallTexas,136271,67280,68991,8546,8746,9638,10151,9366,9374,9763,9717,7238,8891,7654,8140,8428,6820,5141,3106,2946,2606
0500000US48039,Brazoria,Texas,BrazoriaTexas,370200,187017,183183,25664,27708,28251,25904,22523,23587,24231,32312,25823,25386,22616,23618,18921,16238,11686,7176,4933,3623
0500000US48491,Williamson,Texas,WilliamsonTexas,566719,278884,287835,36808,40711,42770,39538,30524,36313,42689,50091,42692,42221,34522,31481,27700,22494,20583,9894,8376,7312
0500000US48157,Fort Bend,Texas,Fort BendTexas,787858,386679,401179,54463,59258,64041,58126,44845,44655,50282,59052,61278,59915,51249,49967,43447,33326,24587,13974,7764,7629
0500000US48181,Grayson,Texas,GraysonTexas,133991,65122,68869,8103,6969,10790,9282,8328,8546,7804,7048,8806,7662,8465,10823,7759,6647,7378,4323,2737,2521
0500000US48451,Tom Green,Texas,Tom GreenTexas,118189,59451,58738,8039,6750,9224,8773,9701,9894,8590,7689,5858,6071,6017,7055,6641,6529,4464,2734,1838,2322
0500000US48339,Montgomery,Texas,MontgomeryTexas,590925,294399,296526,40380,41196,47479,40999,34082,37997,37169,39232,42031,40598,39401,40934,31013,30605,18687,13837,9674,5611
0500000US51165,Rockingham,Virginia,RockinghamVirginia,81244,39572,41672,4391,5308,4959,5774,4969,4652,4679,4998,4242,5010,6040,4622,6391,3925,4438,2772,2119,1955
0500000US51700,Newport News city,Virginia,Newport News cityVirginia,178626,87141,91485,12716,10428,11695,13448,14645,15536,13689,9244,12187,9693,10576,10376,10976,7218,6500,4446,3262,1991
0500000US51710,Norfolk city,Virginia,Norfolk cityVirginia,244076,127098,116978,15896,12322,13069,17045,32698,26753,20191,15514,12613,11910,12040,13468,13286,9934,6637,3781,2998,3921
0500000US51810,Virginia Beach city,Virginia,Virginia Beach cityVirginia,450189,221277,228912,28088,28024,27126,25575,32323,38592,36018,29180,30234,27021,28342,29495,26320,22966,14477,11428,7182,7798
0500000US51650,Hampton city,Virginia,Hampton cityVirginia,134313,64444,69869,8344,6137,8461,8863,12393,11642,9067,7979,6914,7093,8299,10499,7927,6901,5189,3735,2046,2824
0500000US51800,Suffolk city,Virginia,Suffolk cityVirginia,91185,44445,46740,5881,5854,6698,5207,5624,5651,6300,6218,5376,6569,6234,6090,6338,4359,3463,2804,1230,1289
0500000US51041,Chesterfield,Virginia,ChesterfieldVirginia,348556,168655,179901,20758,22833,23920,24385,21716,20536,21510,23472,23110,24868,23423,23534,22465,19194,14216,8890,5368,4358
0500000US51061,Fauquier,Virginia,FauquierVirginia,70675,34514,36161,4160,3548,5732,4702,3360,5159,3827,4117,4339,4215,5304,5558,4721,4476,2381,2321,1859,896
0500000US51015,Augusta,Virginia,AugustaVirginia,75457,38441,37016,3449,3288,5211,4035,3532,4294,4315,3870,5389,5061,5259,5419,6236,5180,4062,2655,2275,1927
0500000US51550,Chesapeake city,Virginia,Chesapeake cityVirginia,242634,118384,124250,15072,17523,15751,16047,14803,16638,17584,18067,15666,15053,16002,18070,14313,10951,8685,5589,3669,3151
0500000US51770,Roanoke city,Virginia,Roanoke cityVirginia,99920,47479,52441,7311,6876,4839,4858,5867,7570,7934,6983,6761,5718,5614,5841,6843,5436,5016,2356,1046,3051
0500000US51107,Loudoun,Virginia,LoudounVirginia,406850,201651,205199,28912,31432,35252,28349,20980,20597,27644,35597,34111,34375,29403,23461,19016,14067,8862,7288,3636,3868
0500000US51179,Stafford,Virginia,StaffordVirginia,149960,75079,74881,9905,10288,11967,11148,10612,9483,10268,10759,10762,11082,10449,10371,7460,6904,3485,2418,1857,742
0500000US51510,Alexandria city,Virginia,Alexandria cityVirginia,160530,77087,83443,11064,8233,6350,7042,7056,14956,18481,17890,13298,10992,9093,8299,8181,5781,5763,3167,1868,3016
0500000US51003,Albemarle,Virginia,AlbemarleVirginia,108718,51711,57007,6351,5326,6378,8986,7803,7514,7510,6069,6055,5708,6452,6336,7266,6454,5184,4171,2289,2866
0500000US51680,Lynchburg city,Virginia,Lynchburg cityVirginia,82126,38123,44003,5526,4608,4176,7155,15507,6343,5005,2693,3709,3274,3878,3457,4889,3329,2582,2429,1881,1685
0500000US51095,James City,Virginia,James CityVirginia,76397,35319,41078,3484,4585,4630,5160,3540,3689,3711,3687,3921,5197,4389,4962,5917,4764,6176,3811,2709,2065
0500000US51161,Roanoke,Virginia,RoanokeVirginia,94073,45242,48831,4021,5490,5652,5942,4832,4674,6976,6789,4103,6169,6392,7124,6218,5517,5367,4556,2167,2084
0500000US51069,Frederick,Virginia,FrederickVirginia,88355,44753,43602,4626,5927,6316,5866,4490,5306,4991,5517,5816,5445,6778,6006,6110,5056,3748,2936,1688,1733
0500000US51059,Fairfax,Virginia,FairfaxVirginia,1150795,570773,580022,73089,74111,76368,72229,69726,74132,79243,88770,77632,83619,80437,78789,68011,55255,38826,26752,17743,16063
0500000US51740,Portsmouth city,Virginia,Portsmouth cityVirginia,94632,46138,48494,6852,7234,4639,5231,6913,8287,7428,6517,4745,5438,5719,6304,5391,4745,3455,2224,1967,1543
0500000US51013,Arlington,Virginia,ArlingtonVirginia,237521,119798,117723,14236,11891,11171,8995,17594,28957,27240,23655,16562,15751,13063,11358,12211,9080,5795,4012,2676,3274
0500000US51153,Prince William,Virginia,Prince WilliamVirginia,468011,233834,234177,34901,32758,38845,32286,29290,30159,32445,34743,36359,34245,32944,30907,21615,15757,13428,8962,5036,3331
0500000US51199,York,Virginia,YorkVirginia,67846,31895,35951,3937,4571,4899,4948,3606,4337,3949,4436,5065,3851,3777,4973,3961,4408,2689,1166,1702,1571
0500000US51177,Spotsylvania,Virginia,SpotsylvaniaVirginia,134238,66295,67943,8230,9423,9087,10076,8793,8031,7978,9812,8102,8246,9701,9691,7858,7282,4740,3757,2043,1388
0500000US51121,Montgomery,Virginia,MontgomeryVirginia,98985,51636,47349,3560,3507,4579,12950,18585,8303,5606,4238,4744,5774,4839,5386,4771,3938,3297,2117,1185,1606
0500000US51019,Bedford,Virginia,BedfordVirginia,78747,38605,40142,3558,4646,4157,4710,4443,3856,4033,3779,4309,5634,5895,6294,6742,6082,3838,2404,2607,1760
0500000US51087,Henrico,Virginia,HenricoVirginia,329261,156568,172693,19677,21917,19944,20049,19268,22853,23410,20535,23494,22443,21849,21511,20748,16762,13468,7044,6713,7576
0500000US51760,Richmond city,Virginia,Richmond cityVirginia,228783,107729,121054,13179,9420,10967,14555,19536,27701,22746,15862,12034,11724,12654,14917,13275,11243,7039,4469,2529,4933
0500000US51085,Hanover,Virginia,HanoverVirginia,107239,52446,54793,4545,6770,7749,7544,5938,5196,6467,5755,6442,8054,7828,8520,7544,6235,4750,3587,2018,2297
